"Station Name","SASKATOON DIEFENBAKER INT'L A"
"Province","SASKATCHEWAN"
"Latitude","52.17"
"Longitude","-106.72"
"Elevation","504.10"
"Climate Identifier","4057120"
"WMO Identifier","71866"
"TC Identifier","YXE"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01-01","1992","01","01","","-7.7","","-14.2","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"1992-01-02","1992","01","02","","-0.8","","-13.4","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","14","","31","","52",""
"1992-01-03","1992","01","03","","-0.7","","-7.7","","-4.2","","22.2","","0.0","","0.0","","0.6","","0.6","","14","","31","","50",""
"1992-01-04","1992","01","04","","-1.2","","-11.4","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","14","","15","","32",""
"1992-01-05","1992","01","05","","-5.1","","-11.9","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","14","","29","","32",""
"1992-01-06","1992","01","06","","-6.3","","-8.6","","-7.5","","25.5","","0.0","","0.0","","0.6","","0.6","","14","","13","","48",""
"1992-01-07","1992","01","07","","-6.7","","-16.5","","-11.6","","29.6","","0.0","","0.0","","1.0","","0.8","","16","","31","","35",""
"1992-01-08","1992","01","08","","-8.1","","-18.6","","-13.4","","31.4","","0.0","","0.0","","0.2","","0.0","T","16","","","","<31",""
"1992-01-09","1992","01","09","","-0.8","","-15.3","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"1992-01-10","1992","01","10","","-0.2","","-8.2","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"1992-01-11","1992","01","11","","0.4","","-7.2","","-3.4","","21.4","","0.0","","0.0","T","2.0","","1.6","","15","","30","","32",""
"1992-01-12","1992","01","12","","-1.8","","-7.2","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
"1992-01-13","1992","01","13","","-7.2","","-17.5","","-12.4","","30.4","","0.0","","0.0","T","1.2","","1.0","","16","","","","<31",""
"1992-01-14","1992","01","14","","-15.6","","-30.0","","-22.8","","40.8","","0.0","","0.0","","0.8","","0.8","","18","","4","","37",""
"1992-01-15","1992","01","15","","-0.9","","-31.7","","-16.3","","34.3","","0.0","","2.8","","0.4","","3.2","","18","","18","","33",""
"1992-01-16","1992","01","16","","1.8","","-20.3","","-9.3","","27.3","","0.0","","0.0","T","0.0","","0.0","T","17","","32","","63",""
"1992-01-17","1992","01","17","","-19.5","","-28.9","","-24.2","","42.2","","0.0","","0.0","","0.4","","0.2","","17","","","","<31",""
