"Station Name","SASKATOON DIEFENBAKER INT'L A"
"Province","SASKATCHEWAN"
"Latitude","52.17"
"Longitude","-106.72"
"Elevation","504.10"
"Climate Identifier","4057120"
"WMO Identifier","71866"
"TC Identifier","YXE"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2008-01-01","2008","01","01","†","-11.2","","-25.7","","-18.5","","36.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-02","2008","01","02","†","-1.3","","-18.3","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","17","","54",""
"2008-01-03","2008","01","03","†","-1.7","","-8.9","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-04","2008","01","04","†","3.0","","-7.3","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","22","","44",""
"2008-01-05","2008","01","05","†","3.7","","-4.1","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","23","","46",""
"2008-01-06","2008","01","06","†","1.5","","-12.7","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-07","2008","01","07","†","-8.5","","-16.6","","-12.6","","30.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-08","2008","01","08","†","-12.0","","-19.3","","-15.7","","33.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-09","2008","01","09","†","-13.4","","-19.9","","-16.7","","34.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-10","2008","01","10","†","-13.1","","-15.9","","-14.5","","32.5","","0.0","","","M","","M","0.5","","","","","","<31",""
"2008-01-11","2008","01","11","†","-10.6","","-17.1","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-12","2008","01","12","†","-6.3","","-14.0","","-10.2","","28.2","","0.0","","","M","","M","0.5","","","","","","<31",""
"2008-01-13","2008","01","13","†","-7.7","","-14.1","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-14","2008","01","14","†","-0.2","","-14.9","","-7.6","","25.6","","0.0","","","M","","M","0.5","","","","","","<31",""
"2008-01-15","2008","01","15","†","3.8","","-19.1","","-7.7","","25.7","","0.0","","","M","","M","2.5","","","","33","","74",""
"2008-01-16","2008","01","16","†","-9.6","","-27.1","","-18.4","","36.4","","0.0","","","M","","M","0.0","","","","22","","33",""
"2008-01-17","2008","01","17","†","-7.6","","-26.8","","-17.2","","35.2","","0.0","","","M","","M","0.5","","","","2","","39",""
"2008-01-18","2008","01","18","†","-15.5","","-29.4","","-22.5","","40.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-19","2008","01","19","†","-16.6","","-24.5","","-20.6","","38.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-20","2008","01","20","†","-17.3","","-30.6","","-24.0","","42.0","","0.0","","","M","","M","0.5","","","","32","","32",""
"2008-01-21","2008","01","21","†","-13.8","","-21.6","","-17.7","","35.7","","0.0","","","M","","M","0.0","","","","24","","32",""
"2008-01-22","2008","01","22","†","-11.0","","-24.1","","-17.6","","35.6","","0.0","","","M","","M","2.0","","","","","","<31",""
