"Station Name","VICTORIA INT'L A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018620"
"WMO Identifier","71799"
"TC Identifier","YYJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-01-01","2009","01","01","","3.6","","0.1","","1.9","","16.1","","0.0","","18.0","","0.0","T","18.0","","0","T","","","<31",""
"2009-01-02","2009","01","02","","4.1","","-4.2","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","T","30","E","39","E"
"2009-01-03","2009","01","03","","4.9","","-2.5","","1.2","","16.8","","0.0","","0.2","","1.0","","1.2","","1","","","","<31",""
"2009-01-04","2009","01","04","","5.5","","2.1","","3.8","","14.2","","0.0","","19.0","","0.0","","19.0","","0","T","14","E","54","E"
"2009-01-05","2009","01","05","","7.3","","1.1","","4.2","","13.8","","0.0","","1.8","","0.0","","1.8","","0","","14","E","44","E"
"2009-01-06","2009","01","06","","11.8","","5.2","","8.5","","9.5","","0.0","","10.0","","0.0","","10.0","","0","","21","E","50","E"
"2009-01-07","2009","01","07","","12.0","","7.7","","9.9","","8.1","","0.0","","11.2","","0.0","","11.2","","0","","21","E","43","E"
"2009-01-08","2009","01","08","","9.6","","-0.2","","4.7","","13.3","","0.0","","2.0","","0.0","","2.0","","0","","27","E","37","E"
"2009-01-09","2009","01","09","","5.9","","-0.1","","2.9","","15.1","","0.0","","0.2","","0.0","","0.2","","0","","16","E","50","E"
"2009-01-10","2009","01","10","","6.3","","5.1","","5.7","","12.3","","0.0","","10.5","","0.0","","10.5","","0","","13","E","39","E"
"2009-01-11","2009","01","11","","6.1","","4.6","","5.4","","12.6","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"2009-01-12","2009","01","12","","7.7","","3.9","","5.8","","12.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-01-13","2009","01","13","","7.5","","-0.7","","3.4","","14.6","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-01-14","2009","01","14","","5.9","","2.5","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-15","2009","01","15","","3.7","","1.6","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-16","2009","01","16","","2.7","","0.6","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-17","2009","01","17","","7.5","","-0.4","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-18","2009","01","18","","12.1","","-0.7","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-19","2009","01","19","","11.0","","-1.2","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-20","2009","01","20","","7.7","","-1.8","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-21","2009","01","21","","2.3","","-1.3","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-22","2009","01","22","","1.3","","-0.6","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-23","2009","01","23","","6.1","","-0.7","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-24","2009","01","24","","3.7","","-2.7","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-25","2009","01","25","","3.4","","-4.4","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-26","2009","01","26","","3.1","","-5.9","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"2009-01-27","2009","01","27","","3.7","","-1.0","","1.4","","16.6","","0.0","","0.4","","2.0","","2.4","","0","","13","E","50","E"
"2009-01-28","2009","01","28","","8.3","","-1.8","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-01-29","2009","01","29","","7.6","","0.6","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","0","","15","E","39","E"
"2009-01-30","2009","01","30","","9.0","","2.8","","5.9","","12.1","","0.0","","0.0","T","0.0","","0.0","T","0","","27","E","61","E"
"2009-01-31","2009","01","31","","8.8","","-0.9","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","24","E","46","E"
"2009-02-01","2009","02","01","","6.1","","-1.0","","2.6","","15.4","","0.0","","1.4","","0.0","","1.4","","0","","","","<31",""
"2009-02-02","2009","02","02","","8.6","","1.3","","5.0","","13.0","","0.0","","3.1","","0.0","","3.1","","0","","","","<31",""
"2009-02-03","2009","02","03","","10.2","","0.3","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-04","2009","02","04","","9.8","","-0.7","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-05","2009","02","05","","7.2","","-0.7","","3.3","","14.7","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"2009-02-06","2009","02","06","","9.6","","-0.3","","4.7","","13.3","","0.0","","3.6","","0.0","","3.6","","0","","","","<31",""
"2009-02-07","2009","02","07","","6.9","","-2.3","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-08","2009","02","08","","7.4","","0.6","","4.0","","14.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-02-09","2009","02","09","","6.8","","-1.2","","2.8","","15.2","","0.0","","0.0","T","0.0","","0.0","T","0","","25","E","48","E"
"2009-02-10","2009","02","10","","3.3","","-3.0","","0.2","","17.8","","0.0","","8.8","","0.0","T","8.8","","0","","13","E","46","E"
"2009-02-11","2009","02","11","","7.1","","0.7","","3.9","","14.1","","0.0","","2.0","","0.0","","2.0","","0","","","","<31",""
"2009-02-12","2009","02","12","","6.3","","-0.4","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-02-13","2009","02","13","","6.8","","-0.3","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-14","2009","02","14","","7.6","","1.3","","4.5","","13.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-02-15","2009","02","15","","8.4","","-1.6","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-16","2009","02","16","","7.3","","-2.1","","2.6","","15.4","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2009-02-17","2009","02","17","","9.3","","-0.3","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-18","2009","02","18","","9.9","","-1.5","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-19","2009","02","19","","9.8","","-1.2","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-20","2009","02","20","","10.8","","-1.1","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-21","2009","02","21","","11.2","","-1.5","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2009-02-22","2009","02","22","","9.1","","4.4","","6.8","","11.2","","0.0","","3.2","","0.0","","3.2","","0","","","","<31",""
"2009-02-23","2009","02","23","","9.8","","4.2","","7.0","","11.0","","0.0","","2.2","","0.0","","2.2","","0","","","","<31",""
"2009-02-24","2009","02","24","","10.8","","5.9","","8.4","","9.6","","0.0","","2.4","","0.0","","2.4","","0","","21","E","46","E"
"2009-02-25","2009","02","25","","8.0","","1.1","","4.6","","13.4","","0.0","","5.0","","0.0","T","5.0","","0","","24","E","50","E"
"2009-02-26","2009","02","26","","2.1","","-1.2","","0.5","","17.5","","0.0","","0.0","","1.0","","1.0","","0","","7","E","46","E"
"2009-02-27","2009","02","27","","6.2","","0.7","","3.5","","14.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"2009-02-28","2009","02","28","","6.9","","-1.1","","2.9","","15.1","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"2009-03-01","2009","03","01","","9.5","","3.8","","6.7","","11.3","","0.0","","5.8","","0.0","","5.8","","0","","15","E","41","E"
"2009-03-02","2009","03","02","","13.1","","3.2","","8.2","","9.8","","0.0","","2.8","","0.0","","2.8","","0","","22","E","46","E"
"2009-03-03","2009","03","03","","8.0","","1.3","","4.7","","13.3","","0.0","","5.0","","0.0","","5.0","","0","","","","<31",""
"2009-03-04","2009","03","04","","11.7","","0.4","","6.1","","11.9","","0.0","","0.0","T","0.0","","0.0","T","0","","27","E","61","E"
"2009-03-05","2009","03","05","","9.6","","1.9","","5.8","","12.2","","0.0","","0.0","T","0.0","","0.0","T","0","","28","E","65","E"
"2009-03-06","2009","03","06","","7.2","","-3.1","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","","8","E","37","E"
"2009-03-07","2009","03","07","","7.8","","-2.0","","2.9","","15.1","","0.0","","0.2","","0.2","","0.4","","0","","29","E","63","E"
"2009-03-08","2009","03","08","","6.1","","-3.9","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
